_id,ltable_id,rtable_id
0,326,3
1,613,3
2,273,8
3,961,9
4,204,13
5,157,14
6,208,14
7,512,16
8,632,16
9,135,16
10,662,16
11,1063,17
12,157,21
13,133,22
14,231,22
15,6,25
16,592,25
17,157,25
18,250,25
19,1282,25
20,333,25
21,452,25
22,157,28
23,208,28
24,157,31
25,157,32
26,157,33
27,1215,33
28,501,33
29,542,34
30,157,34
31,860,34
32,204,35
33,531,36
34,662,36
35,248,36
36,251,36
37,1292,36
38,431,36
39,443,36
40,157,37
41,157,41
42,208,41
43,137,42
44,1044,43
45,157,43
46,788,43
47,205,44
48,157,45
49,493,45
50,133,46
51,231,46
52,614,47
53,157,47
54,393,47
55,206,48
56,118,49
57,157,49
58,157,50
59,208,50
60,263,52
61,147,54
62,231,54
63,551,57
64,201,57
65,970,59
66,973,59
67,975,59
68,92,59
69,157,60
70,204,61
71,197,63
72,198,64
73,249,64
74,137,65
75,199,65
76,194,67
77,261,67
78,6,68
79,592,68
80,250,68
81,1282,68
82,333,68
83,452,68
84,649,69
85,157,69
86,208,69
87,346,69
88,516,70
89,602,70
90,565,70
91,88,70
92,608,70
93,615,70
94,157,70
95,1186,70
96,736,70
97,1334,70
98,350,70
99,361,70
100,910,70
101,412,70
102,1349,70
103,588,70
104,465,70
105,565,71
106,588,71
107,88,71
108,602,71
109,608,71
110,615,71
111,157,71
112,1186,71
113,208,71
114,1334,71
115,1349,71
116,350,71
117,361,71
118,412,71
119,465,71
120,248,73
121,443,73
122,516,75
123,557,75
124,565,75
125,588,75
126,597,75
127,88,75
128,602,75
129,608,75
130,139,75
131,1186,75
132,736,75
133,803,75
134,1322,75
135,350,75
136,883,75
137,897,75
138,910,75
139,412,75
140,1349,75
141,465,75
142,157,76
143,196,76
144,157,78
145,133,80
146,137,81
147,224,81
148,223,82
149,157,87
150,227,87
151,157,88
152,157,89
153,993,89
154,220,90
155,88,91
156,1118,91
157,803,91
158,910,91
159,142,92
160,219,92
161,157,94
162,222,94
163,221,95
164,687,97
165,516,99
166,602,99
167,557,99
168,565,99
169,608,99
170,597,99
171,88,99
172,615,99
173,139,99
174,157,99
175,736,99
176,1322,99
177,350,99
178,883,99
179,897,99
180,910,99
181,412,99
182,588,99
183,465,99
184,133,102
185,545,104
186,157,104
187,157,107
188,1269,107
189,1287,107
190,551,108
191,937,108
192,443,108
193,248,108
194,502,108
195,165,109
196,157,110
197,531,111
198,584,111
199,604,111
200,93,111
201,218,111
202,248,111
203,251,111
204,1292,111
205,662,111
206,431,111
207,443,111
208,157,112
209,138,113
210,157,114
211,157,116
212,885,119
213,157,122
214,1241,122
215,244,124
216,761,124
217,258,124
218,1305,124
219,816,124
220,393,124
221,490,124
222,512,125
223,632,125
224,135,125
225,662,125
226,157,126
227,625,127
228,638,127
229,1111,127
230,209,128
231,137,129
232,213,129
233,551,134
234,937,134
235,443,134
236,248,134
237,502,134
238,212,135
239,255,135
240,244,137
241,761,137
242,258,137
243,1305,137
244,816,137
245,393,137
246,490,137
247,551,140
248,937,140
249,443,140
250,248,140
251,502,140
252,245,144
253,536,145
254,157,145
255,641,147
256,900,147
257,1183,147
258,685,147
259,690,147
260,516,151
261,543,151
262,553,151
263,562,151
264,593,151
265,602,151
266,608,151
267,1174,151
268,1262,151
269,265,151
270,216,151
271,837,151
272,910,151
273,923,151
274,465,151
275,893,156
276,896,159
277,913,161
278,508,168
279,929,171
280,516,176
281,543,176
282,562,176
283,593,176
284,602,176
285,608,176
286,1174,176
287,1262,176
288,772,176
289,216,176
290,837,176
291,910,176
292,923,176
293,465,176
294,111,179
295,925,179
296,845,180
297,565,182
298,608,182
299,139,182
300,1322,182
301,1349,182
302,361,182
303,897,182
304,412,182
305,1080,185
306,820,185
307,821,185
308,359,185
309,26,190
310,620,190
311,892,190
312,1262,192
313,991,196
314,105,196
315,3,199
316,1242,199
317,874,199
318,957,199
319,1264,204
320,664,211
321,26,216
322,620,216
323,892,216
324,666,218
325,669,219
326,376,219
327,591,228
328,860,228
329,660,235
330,514,239
331,523,239
332,602,242
333,615,242
334,661,242
335,350,242
336,588,242
337,684,244
338,685,246
339,687,249
340,688,250
341,29,251
342,1074,251
343,635,251
344,689,251
345,309,251
346,641,252
347,900,252
348,1183,252
349,685,252
350,690,252
351,1186,254
352,1334,254
353,1349,254
354,350,254
355,361,254
356,412,254
357,465,254
358,674,256
359,6,257
360,592,257
361,1282,257
362,452,257
363,554,260
364,517,263
365,543,263
366,264,263
367,837,263
368,839,263
369,520,264
370,580,264
371,586,264
372,611,264
373,591,265
374,860,265
375,680,266
376,79,268
377,512,273
378,544,273
379,632,273
380,629,275
381,628,276
382,1336,276
383,610,277
384,903,277
385,967,277
386,498,277
387,636,277
388,1074,279
389,689,279
390,309,279
391,635,279
392,634,280
393,512,286
394,544,286
395,632,286
396,645,286
397,888,286
398,78,288
399,622,288
400,619,290
401,626,292
402,1111,294
403,625,294
404,638,294
405,624,296
406,500,300
407,1160,304
408,1133,304
409,1175,304
410,648,305
411,649,306
412,646,307
413,592,309
414,1282,309
415,452,309
416,647,311
417,372,311
418,1078,313
419,653,313
420,1185,313
421,779,313
422,1257,313
423,566,316
424,582,316
425,590,316
426,871,316
427,651,317
428,652,318
429,1230,318
430,1317,318
431,488,319
432,639,322
433,565,324
434,608,324
435,412,324
436,1111,327
437,625,327
438,638,327
439,593,331
440,1174,331
441,265,331
442,544,332
443,645,332
444,145,332
445,641,333
446,900,333
447,1183,333
448,685,333
449,690,333
450,643,335
451,1118,338
452,803,338
453,910,338
454,757,340
455,756,341
456,751,347
457,748,351
458,747,353
459,1118,354
460,803,354
461,910,354
462,592,355
463,1282,355
464,452,355
465,742,356
466,566,357
467,582,357
468,590,357
469,871,357
470,216,358
471,772,358
472,923,358
473,516,368
474,602,368
475,615,368
476,350,368
477,661,368
478,588,368
479,465,368
480,516,369
481,597,369
482,1130,369
483,139,369
484,1322,369
485,350,369
486,897,369
487,412,369
488,516,371
489,517,371
490,543,371
491,562,371
492,593,371
493,602,371
494,608,371
495,1174,371
496,1262,371
497,264,371
498,216,371
499,837,371
500,910,371
501,923,371
502,465,371
503,26,372
504,620,372
505,1262,372
506,892,372
507,512,375
508,544,375
509,632,375
510,645,375
511,888,375
512,767,379
513,506,381
514,768,382
515,1119,383
516,995,383
517,770,385
518,764,387
519,766,389
520,759,393
521,1083,393
522,762,396
523,760,397
524,713,398
525,715,399
526,1035,401
527,711,403
528,706,405
529,702,410
530,1270,413
531,698,414
532,647,424
533,739,424
534,516,426
535,557,426
536,608,426
537,883,426
538,736,426
539,897,426
540,602,430
541,608,430
542,615,430
543,1186,430
544,1334,430
545,361,430
546,1349,430
547,465,430
548,732,432
549,35,433
550,40,433
551,1110,433
552,738,433
553,1259,433
554,881,433
555,734,435
556,730,436
557,727,439
558,723,441
559,1160,442
560,1175,442
561,517,444
562,543,444
563,264,444
564,837,444
565,839,444
566,719,446
567,718,450
568,1228,451
569,717,451
570,557,452
571,139,452
572,736,452
573,1322,452
574,883,452
575,897,452
576,412,452
577,35,456
578,40,456
579,1110,456
580,738,456
581,1259,456
582,881,456
583,566,457
584,582,457
585,590,457
586,871,457
587,1256,460
588,970,461
589,838,461
590,973,461
591,92,461
592,653,462
593,1185,462
594,779,462
595,1257,462
596,216,465
597,772,465
598,923,465
599,1270,466
600,1265,470
601,1278,477
602,1280,482
603,516,485
604,543,485
605,562,485
606,593,485
607,602,485
608,608,485
609,1174,485
610,1262,485
611,772,485
612,216,485
613,837,485
614,910,485
615,923,485
616,465,485
617,1276,491
618,1288,493
619,1289,494
620,1111,495
621,638,495
622,625,495
623,1285,497
624,652,499
625,1230,499
626,1317,499
627,1228,500
628,717,500
629,1226,503
630,1224,504
631,536,508
632,157,508
633,1237,509
634,1233,513
635,591,515
636,600,515
637,1175,515
638,860,515
639,1247,516
640,1245,518
641,516,521
642,597,521
643,1130,521
644,139,521
645,1322,521
646,1241,523
647,1254,527
648,516,531
649,565,531
650,608,531
651,736,531
652,412,531
653,465,531
654,1253,532
655,375,532
656,1250,534
657,779,535
658,808,535
659,1078,535
660,1185,535
661,674,542
662,1209,542
663,555,546
664,1212,548
665,548,551
666,1277,551
667,1281,551
668,1279,551
669,1218,555
670,602,558
671,615,558
672,661,558
673,350,558
674,588,558
675,1078,562
676,1115,562
677,653,562
678,1185,562
679,1257,562
680,779,562
681,808,562
682,1187,565
683,733,565
684,1186,566
685,1334,566
686,1349,566
687,361,566
688,465,566
689,1191,567
690,1189,571
691,1194,573
692,1196,576
693,1200,579
694,132,582
695,140,582
696,1354,593
697,1348,600
698,1345,603
699,1346,604
700,594,606
701,1357,614
702,1338,617
703,1355,617
704,515,621
705,554,621
706,556,621
707,599,621
708,274,621
709,1329,621
710,1353,621
711,890,621
712,981,621
713,628,625
714,1336,625
715,1335,628
716,1333,629
717,752,629
718,1332,632
719,1330,639
720,853,639
721,1075,645
722,1343,645
723,1342,646
724,1341,647
725,1338,650
726,1355,650
727,1337,651
728,1316,659
729,1325,677
730,1326,678
731,652,679
732,1230,679
733,1317,679
734,1319,683
735,1064,691
736,1080,691
737,820,691
738,821,691
739,359,691
740,1291,701
741,1294,703
742,1096,707
743,1119,707
744,995,707
745,1304,712
746,1308,713
747,242,720
748,157,721
749,157,724
750,157,726
751,257,728
752,142,728
753,238,728
754,157,730
755,157,731
756,76,731
757,157,732
758,799,732
759,970,734
760,838,734
761,973,734
762,975,734
763,92,734
764,30,735
765,157,735
766,157,736
767,1300,737
768,974,737
769,157,740
770,1078,741
771,779,741
772,157,742
773,157,744
774,233,744
775,157,746
776,204,749
777,536,750
778,157,750
779,157,751
780,963,751
781,157,752
782,1044,753
783,1055,758
784,1053,759
785,1050,760
786,912,763
787,941,767
788,1036,768
789,1037,768
790,455,768
791,1036,769
792,1037,769
793,455,769
794,1072,770
795,1018,771
796,1020,772
797,944,774
798,432,776
799,12,777
800,244,777
801,258,777
802,393,777
803,490,777
804,761,777
805,816,777
806,1305,777
807,1016,780
808,1105,782
809,1115,782
810,1284,782
811,1269,783
812,1287,783
813,570,784
814,3,787
815,1242,787
816,874,787
817,957,787
818,3,788
819,1242,788
820,874,788
821,957,788
822,1025,790
823,1105,792
824,1115,792
825,1190,792
826,1264,792
827,1284,792
828,851,792
829,1022,793
830,1004,794
831,570,795
832,26,798
833,620,798
834,892,798
835,26,800
836,620,800
837,892,800
838,1042,802
839,1103,802
840,1002,802
841,859,803
842,799,804
843,473,805
844,1011,807
845,523,808
846,544,808
847,584,808
848,632,808
849,1215,808
850,501,808
851,1012,813
852,1007,815
853,1009,817
854,989,822
855,515,832
856,105,832
857,971,832
858,991,832
859,996,835
860,971,836
861,991,836
862,1004,839
863,1300,840
864,974,840
865,274,845
866,556,845
867,3,857
868,1242,857
869,874,857
870,957,857
871,962,868
872,963,869
873,943,880
874,516,893
875,602,893
876,597,893
877,615,893
878,1130,893
879,139,893
880,736,893
881,1322,893
882,608,893
883,537,895
884,600,895
885,1157,895
886,1173,899
887,516,902
888,517,902
889,543,902
890,562,902
891,593,902
892,602,902
893,608,902
894,1174,902
895,216,902
896,1262,902
897,264,902
898,837,902
899,839,902
900,910,902
901,923,902
902,465,902
903,518,904
904,1145,904
905,1157,905
906,1169,906
907,1167,907
908,557,911
909,736,911
910,883,911
911,897,911
912,518,915
913,1153,916
914,602,917
915,615,917
916,139,917
917,661,917
918,1322,917
919,350,917
920,361,917
921,1349,917
922,588,917
923,557,921
924,736,921
925,883,921
926,897,921
927,532,922
928,516,923
929,543,923
930,553,923
931,562,923
932,593,923
933,602,923
934,608,923
935,1174,923
936,1262,923
937,265,923
938,216,923
939,837,923
940,910,923
941,923,923
942,465,923
943,512,924
944,544,924
945,632,924
946,888,924
947,1150,925
948,591,926
949,600,926
950,1160,926
951,1175,926
952,860,926
953,1144,931
954,1136,933
955,516,939
956,597,939
957,1130,939
958,139,939
959,1322,939
960,1126,941
961,1121,943
962,524,944
963,516,946
964,602,946
965,588,946
966,615,946
967,661,946
968,350,946
969,465,946
970,1113,948
971,950,948
972,1118,950
973,803,950
974,910,950
975,1118,953
976,803,953
977,910,953
978,562,954
979,572,954
980,1174,955
981,584,959
982,496,959
983,565,960
984,608,960
985,412,960
986,1095,966
987,1102,967
988,1088,975
989,1186,977
990,1334,977
991,1349,977
992,361,977
993,465,977
994,1092,978
995,713,978
